,File Name,Event Date,Activation Date,Satellite Date,Country
0,EMSR264_01AMBILOPE_DEL_v2,1/5/2018,1/6/2018,10/1/2018,Madagascar
1,EMSR264_02AMBANJA_DEL_v2,1/5/2018,1/6/2018,10/1/2018,Madagascar
2,EMSR264_05MAROVOAY_DEL_v2,1/5/2018,1/6/2018,11/1/2018,Madagascar
3,EMSR264_06MAHAMBO_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
4,EMSR264_07AMBATOBE_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
5,EMSR264_08VATOMANDRY_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
6,EMSR264_09MAHANORO_DEL_v1,1/5/2018,1/6/2018,7/1/2018,Madagascar
7,EMSR264_10MASOMELOKA_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
8,EMSR264_11NOSYVARIKA_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
9,EMSR264_12FARAFANGANA_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
10,EMSR264_13IHOROMBE_DEL_v2,1/5/2018,1/6/2018,7/1/2017,Madagascar
11,EMSR264_14VANGAINDRANO_DEL_v2,1/5/2018,1/6/2018,7/1/2018,Madagascar
12,EMSR264_15ANTANANARIVO_DEL_v2,1/5/2018,1/6/2018,9/1/2018,Madagascar
13,EMSR264_16MIANDRIVAZO_DEL_v2,1/5/2018,1/6/2018,11/1/2018,Madagascar
14,EMSR264_17BELONITSIRIBIHINA_DEL_v2,1/5/2018,1/6/2018,11/1/2018,Madagascar
15,EMSR264_18MIANDRIVAZODETAIL_DEL_v2,1/5/2018,1/6/2018,12/1/2018,Madagascar
16,EMSR269_02FAHEFA_GRA_v1,2/12/2018,2/12/2018,13/02/2018,Tonga
17,EMSR269_06VEITONGO_GRA_MONIT01_v1,2/12/2018,2/12/2018,13/02/2018,Tonga
18,EMSR269_06VEITONGO_GRA_v2,2/12/2018,2/12/2018,15/02/2018,Tonga
19,EMSR274_01AMBILOBE_DEL_v2,3/16/2018,3/16/2018,18/03/2018,Madagascar
20,EMSR274_02AMBANJA_DEL_v1,3/16/2018,3/16/2018,18/03/2018,Madagascar
21,EMSR274_03BEFOTAKA_DEL_v1,3/16/2018,3/16/2018,17/08/2018,Madagascar
22,EMSR274_05TOAMASINA_DEL_v1,3/16/2018,3/16/2018,18/03/2018,Madagascar
23,EMSR274_08MAHANORO_DEL_v1,3/16/2018,3/16/2018,19/03/2018,Madagascar
24,EMSR274_09NOSYVARIKA_DEL_v1,3/16/2018,3/16/2018,18/03/2018,Madagascar
25,EMSR274_10MANANJARY_DEL_v2,3/16/2018,3/16/2018,18/03/2018,Madagascar
26,EMSR274_12ANTALAHA_DEL_v1,3/16/2018,3/16/2018,20/03/2018,Madagascar
27,EMSR274_14MAHAJANGA_DEL_v1,3/16/2018,3/16/2018,20/03/2018,Madagascar
28,EMSR274_15FENERIVE_DEL_v1,3/16/2018,3/16/2018,20/03/2018,Madagascar
29,EMSR274_16MANANARA_DEL_v2,3/16/2018,3/16/2018,20/03/2018,Madagascar
30,EMSR274_17SOANIERANAIVONGO_DEL_v2,3/16/2018,3/16/2018,28/03/2018,Madagascar
31,EMSR274_21NOSYBE_DEL_v2,3/16/2018,3/16/2018,28/03/2018,Madagascar
32,EMSR286_01ITUANGODAM_DEL_MONIT01_v1,5/16/2018,5/22/2018,29/05/2018,Colombia
33,EMSR286_01ITUANGODAM_DEL_v2,5/16/2018,5/22/2018,2/6/2018,Colombia
34,EMSR286_01ITUANGODAM_GRA_MONIT01_v1,5/16/2018,5/22/2018,2/6/2018,Colombia
35,EMSR286_04PUERTOANTIOQUIA_DEL_v1,5/16/2018,5/22/2018,25/05/2017,Colombia
36,EMSR286_07NECHI_DEL_v2,5/16/2018,5/22/2018,24/05/2018,Colombia
37,EMSR286_08ITUANGONORTH_DEL_MONIT01_v1,5/16/2018,5/22/2018,2/5/2018,Colombia
38,EMSR286_08ITUANGONORTH_DEL_MONIT02_v1,5/16/2018,5/22/2018,17/05/2018,Colombia
39,EMSR286_08ITUANGONORTH_DEL_v1,5/16/2018,5/22/2018,22/05/2018,Colombia
40,EMSR286_09ITUANGOSOUTH_DEL_MONIT01_v3,5/16/2018,5/22/2018,17/05/2018,Colombia
41,EMSR286_09ITUANGOSOUTH_DEL_MONIT02_v1,5/16/2018,5/22/2018,22/05/2018,Colombia
42,EMSR312_02CALAYAN_GRA_v1,9/14/2018,9/14/2018,17/09/2018,Philippines
43,EMSR312_05TUGUEGARAO_DEL_MONIT01_v1,9/14/2018,9/14/2018,16/09/2018,Philippines
44,EMSR312_05TUGUEGARAO_DEL_v1,9/14/2018,9/14/2018,17/09/2018,Philippines
45,EMSR312_06ILAGAN_DEL_MONIT01_v1,9/14/2018,9/14/2018,16/09/2018,Philippines
46,EMSR312_06ILAGAN_DEL_v1,9/14/2018,9/14/2018,17/09/2018,Philippines
47,EMSR312_07VIGAN_DEL_MONIT01_v1,9/14/2018,9/14/2018,15/09/2018,Philippines
48,EMSR312_07VIGAN_DEL_v1,9/14/2018,9/14/2018,17/09/2018,Philippines
49,EMSR312_08CANDON_DEL_MONIT01_v1,9/14/2018,9/14/2018,15/09/2018,Philippines
50,EMSR312_08CANDON_DEL_v1,9/14/2018,9/14/2018,17/09/2018,Philippines
51,EMSR312_14BAGUIO_GRA_v2,9/14/2018,9/14/2018,19/09/2018,Philippines
52,EMSR314_01PATEGI_DEL_v1,9/18/2018,9/18/2018,20/09/2018,Nigeria
53,EMSR314_02LOKOJA_DEL_v1,9/18/2018,9/18/2018,20/09/2018,Nigeria
54,EMSR314_03ENUGUOTU_DEL_v1,9/18/2018,9/18/2018,22/09/2018,Nigeria
55,EMSR314_04OTUOCHAAGULERI_DEL_v1,9/18/2018,9/18/2018,22/09/2018,Nigeria
56,EMSR314_05ONITSHA_DEL_v1,9/18/2018,9/18/2018,22/09/2018,Nigeria
57,EMSR328_01ESCUINAPA_DEL_v1,,10/23/2018,25/10/2018,Mexico
58,EMSR328_02TEACAPAN_DEL_v1,,10/23/2018,25/10/2018,Mexico
59,EMSR328_03SANFELIPE_DEL_v1,,10/23/2018,24/10/2018,Mexico
60,EMSR328_04ACAPONETA_DEL_v1,,10/23/2018,25/10/2018,Mexico
61,EMSR328_04ACAPONETA_GRA_v1,,10/23/2018,26/10/2018,Mexico
62,EMSR328_06ESCUINAPADETAIL_GRA_v1,,10/23/2018,25/10/2018,Mexico
63,EMSR328_07TEACAPANDETAIL_GRA_v1,,10/23/2018,26/10/2018,Mexico
64,EMSR339_01QUELIMANE_DEL_MONIT01_v2,1/22/2019,1/23/2019,24/01/2019,Mozambique
65,EMSR339_01QUELIMANE_DEL_v1,1/22/2019,1/23/2019,25/01/2019,Mozambique
66,EMSR339_03BEIRANW_DEL_v1,1/22/2019,1/23/2019,24/01/2019,Mozambique
67,EMSR339_04BEIRANE_DEL_v1,1/22/2019,1/23/2019,24/01/2019,Mozambique
68,EMSR339_05BEIRASE_DEL_v1,1/22/2019,1/23/2019,24/01/2019,Mozambique
69,EMSR339_06BEIRASW_DEL_v1,1/22/2019,1/23/2019,24/01/2019,Mozambique
70,EMSR342_01TOWNSVILLE_DEL_MONIT02_v1,1/31/2019,2/1/2019,6/2/2019,Australia
71,EMSR342_02BLUEWATER_DEL_v1,1/31/2019,2/1/2019,5/2/2019,Australia
72,EMSR342_03CLONCURRY_DEL_MONIT01_v1,1/31/2019,2/1/2019,8/2/2019,Australia
73,EMSR342_03CLONCURRY_DEL_MONIT02_v2,1/31/2019,2/1/2019,9/2/2019,Australia
74,EMSR342_03CLONCURRY_DEL_v1,1/31/2019,2/1/2019,11/2/2019,Australia
75,EMSR342_04JULIACREEK_DEL_MONIT01_v1,1/31/2019,2/1/2019,9/2/2019,Australia
76,EMSR342_04JULIACREEK_DEL_v1,1/31/2019,2/1/2019,10/2/2019,Australia
77,EMSR342_05RICHMOND_DEL_MONIT01_v1,1/31/2019,2/1/2019,9/2/2019,Australia
78,EMSR342_05RICHMOND_DEL_v1,1/31/2019,2/1/2019,10/2/2019,Australia
79,EMSR342_06NORTHNORMANTON_DEL_MONIT01_v3,1/31/2019,2/1/2019,9/2/2019,Australia
80,EMSR342_06NORTHNORMANTON_DEL_MONIT02_v1,1/31/2019,2/1/2019,13/02/2019,Australia
81,EMSR342_06NORTHNORMANTON_DEL_v1,1/31/2019,2/1/2019,16/02/2019,Australia
82,EMSR342_07SOUTHNORMANTON_DEL_MONIT01_v2,1/31/2019,2/1/2019,9/2/2019,Australia
83,EMSR342_07SOUTHNORMANTON_DEL_MONIT02_v2,1/31/2019,2/1/2019,13/02/2019,Australia
84,EMSR342_07SOUTHNORMANTON_DEL_MONIT03_v2,1/31/2019,2/1/2019,14/02/2019,Australia
85,EMSR342_07SOUTHNORMANTON_DEL_v1,1/31/2019,2/1/2019,16/02/2019,Australia
86,EMSR346_03BEIRA_DEL_v1,3/9/2019,3/9/2019,11/3/2019,Mozambique
87,EMSR347_01MPONDA_DEL_v1,3/10/2019,3/10/2019,11/3/2019,Malawi
88,EMSR347_02MANGOCHI_DEL_v1,3/10/2019,3/10/2019,11/3/2019,Malawi
89,EMSR347_03SILI_DEL_v2,3/10/2019,3/10/2019,11/3/2019,Malawi
90,EMSR347_04CHANGALI_DEL_v2,3/10/2019,3/10/2019,11/3/2019,Malawi
91,EMSR347_06MWANZA_DEL_v1,3/10/2019,3/10/2019,10/3/2019,Malawi
92,EMSR347_07ZOMBA_DEL_MONIT01_v1,3/10/2019,3/10/2019,10/3/2019,Malawi
93,EMSR347_07ZOMBA_DEL_v2,3/10/2019,3/10/2019,12/3/2019,Malawi
94,EMSR348_02CHINDE_DEL_v1,3/15/2019,3/15/2019,18/03/2019,Mozambique
95,EMSR348_03BEIRA_DEL_MONIT01_v2,3/15/2019,3/15/2019,16/03/2019,Mozambique
96,EMSR348_03BEIRA_DEL_MONIT02_v2,3/15/2019,3/15/2019,19/03/2019,Mozambique
97,EMSR348_03BEIRA_DEL_v1,3/15/2019,3/15/2019,20/03/2019,Mozambique
98,EMSR348_04CHIMOIO_DEL_v1,3/15/2019,3/15/2019,16/03/2019,Mozambique
99,EMSR348_04CHIMOIO_GRA_v2,3/15/2019,3/15/2019,20/03/2019,Mozambique
100,EMSR348_05MAFAMBISSE_DEL_MONIT02_v4,3/15/2019,3/15/2019,17/03/2019,Mozambique
101,EMSR348_05MAFAMBISSE_DEL_MONIT03_v2,3/15/2019,3/15/2019,20/03/2019,Mozambique
102,EMSR348_05MAFAMBISSE_DEL_v1,3/15/2019,3/15/2019,20/03/2019,Mozambique
103,EMSR348_06LAMEGO_DEL_MONIT01_v1,3/15/2019,3/15/2019,19/03/2019,Mozambique
104,EMSR348_06LAMEGO_DEL_MONIT02_v2,3/15/2019,3/15/2019,19/03/2019,Mozambique
105,EMSR348_08TICA_DEL_MONIT01_v1,3/15/2019,3/15/2019,18/03/2019,Mozambique
106,EMSR348_08TICA_DEL_MONIT02_v3,3/15/2019,3/15/2019,19/03/2019,Mozambique
107,EMSR348_08TICA_DEL_MONIT03_v2,3/15/2019,3/15/2019,20/03/2019,Mozambique
108,EMSR348_08TICA_DEL_v1,3/15/2019,3/15/2019,22/03/2019,Mozambique
109,EMSR348_12MACORREIA_DEL_v1,3/15/2019,3/15/2019,19/03/2019,Mozambique
110,EMSR348_13NHANTAZE_DEL_MONIT01_v1,3/15/2019,3/15/2019,19/03/2019,Mozambique
111,EMSR348_13NHANTAZE_DEL_v1,3/15/2019,3/15/2019,22/03/2019,Mozambique
112,EMSR348_14MAVUNA_DEL_MONIT01_v1,3/15/2019,3/15/2019,22/03/2019,Mozambique
113,EMSR349_03MURAMBINDASOUTHWEST_GRA_v1,3/16/2019,3/18/2019,22/03/2019,Zimbabwe
114,EMSR349_04MURAMBINDASOUTHEAST_GRA_v1,3/16/2019,3/18/2019,22/03/2019,Zimbabwe
115,EMSR349_06RUSITUVALLEYSOUTHWEST_GRA_v1,3/16/2019,3/18/2019,26/03/2019,Zimbabwe
116,EMSR349_07RUSITUVALLEYSOUTHEAST_GRA_v1,3/16/2019,3/18/2019,21/03/2019,Zimbabwe
117,EMSR349_08CHIPINGE_GRA_v1,3/16/2019,3/18/2019,26/03/2019,Zimbabwe
118,EMSR349_09CHIMANIMANI_GRA_v2,3/16/2019,3/18/2019,21/03/2019,Zimbabwe
119,EMSR350_02PORTHEDLAND_DEL_MONIT01_v2,3/23/2019,3/23/2019,24/03/2019,Australia
120,EMSR350_02PORTHEDLAND_DEL_v2,3/23/2019,3/23/2019,26/03/2019,Australia
121,EMSR350_04TENNANTCREEK_DEL_v1,3/23/2019,3/23/2019,27/03/2019,Australia
122,EMSR350_05LONGREACH_DEL_v1,3/23/2019,3/23/2019,27/03/2019,Australia
123,EMSR354_AOI02_DEL_MONIT01,4/26/2019,4/26/2019,29/04/2019,Mozambique
124,EMSR354_AOI02_DEL_PRODUCT,4/26/2019,4/26/2019,29/04/2019,Mozambique
125,EMSR354_AOI02_FEP_PRODUCT,4/26/2019,4/26/2019,28/04/2019,Mozambique
126,EMSR354_AOI03_GRA_PRODUCT,4/26/2019,4/26/2019,1/5/2019,Mozambique
127,EMSR354_AOI04_GRA_PRODUCT,4/26/2019,4/26/2019,1/5/2019,Mozambique
128,EMSR354_AOI06_GRA_PRODUCT,4/26/2019,4/26/2019,5/5/2019,Mozambique
129,EMSR354_AOI07_GRA_PRODUCT,4/26/2019,4/26/2019,1/5/2019,Mozambique
130,EMSR354_AOI08_GRA_PRODUCT,4/26/2019,4/26/2019,1/5/2019,Mozambique
131,EMSR354_AOI09_GRA_PRODUCT,4/26/2019,4/26/2019,3/5/2019,Mozambique
132,EMSR354_AOI10_GRA_PRODUCT,4/26/2019,4/26/2019,3/5/2019,Mozambique
133,EMSR354_AOI11_GRA_PRODUCT,4/26/2019,4/26/2019,1/5/2019,Mozambique
134,EMSR354_AOI12_GRA_PRODUCT,4/26/2019,4/26/2019,6/5/2017,Mozambique
135,EMSR354_AOI16_GRA_PRODUCT,4/26/2019,4/26/2019,1/5/2019,Mozambique
136,EMSR354_AOI19_DEL_PRODUCT,4/26/2019,4/26/2019,30/04/2019,Mozambique
137,EMSR354_AOI20_DEL_PRODUCT,4/26/2019,4/26/2019,30/04/2019,Mozambique
138,EMSR354_AOI22_DEL_PRODUCT,4/26/2019,4/26/2019,30/04/2019,Mozambique
139,EMSR354_AOI23_DEL_PRODUCT,4/26/2019,4/26/2019,30/04/2019,Mozambique
140,EMSR355_AOI02_GRA_PRODUCT,4/24/2019,4/26/2019,3/5/2019,Comoros
141,EMSR357_AOI01_DEL_PRODUCT,5/3/2019,5/2/2019,5/5/2019,India
142,EMSR357_AOI03_FEP_PRODUCT,5/3/2019,5/2/2019,6/5/2019,India
143,EMSR357_AOI05_GRA_PRODUCT,5/3/2019,5/2/2019,5/5/2019,India
144,EMSR357_AOI06_GRA_PRODUCT,5/3/2019,5/2/2019,5/5/2019,India
145,EMSR357_AOI08_GRA_PRODUCT,5/3/2019,5/2/2019,6/5/2019,India
146,EMSR385_AOI01_FEP_PRODUCT,9/1/2019,9/1/2019,2/9/2019,Bahamas
147,EMSR385_AOI03_FEP_PRODUCT,9/1/2019,9/1/2019,4/9/2019,Bahamas
148,EMSR385_AOI06_GRA_PRODUCT,9/1/2019,9/1/2019,5/9/2019,Bahamas
149,EMSR385_AOI07_GRA_PRODUCT,9/1/2019,9/1/2019,5/9/2019,Bahamas
150,EMSR385_AOI08_GRA_PRODUCT,9/1/2019,9/1/2019,5/9/2019,Bahamas
151,EMSR385_AOI09_GRA_PRODUCT,9/1/2019,9/1/2019,5/9/2019,Bahamas
152,EMSR385_AOI12_GRA_PRODUCT,9/1/2019,9/1/2019,5/9/2019,Bahamas
153,EMSR385_AOI15_GRA_PRODUCT,9/1/2019,9/1/2019,19/09/2019,Bahamas
154,EMSR392_AOI01_DEL_MONIT02,9/30/2019,9/30/2019,2/10/2019,Viet Nam
155,EMSR392_AOI01_DEL_MONIT03,9/30/2019,9/30/2019,4/10/2019,Viet Nam
156,EMSR399_AOI01_DEL_PRODUCT,10/27/2019,10/24/2019,29/10/2019,Viet Nam
157,EMSR402_AOI01_DEL_PRODUCT,10/31/2019,10/31/2019,1/11/2019,Viet Nam
158,EMSR402_AOI01_FEP_PRODUCT,10/31/2019,10/31/2019,31/10/2019,Viet Nam
159,EMSR402_AOI02_DEL_PRODUCT,10/31/2019,10/31/2019,1/11/2019,Viet Nam
160,EMSR402_AOI02_FEP_PRODUCT,10/31/2019,10/31/2019,31/10/2019,Viet Nam
161,EMSR404_AOI01_DEL_PRODUCT,11/1/2019,11/2/2019,3/11/2019,Somalia
162,EMSR404_AOI01_FEP_PRODUCT,11/1/2019,11/2/2019,3/11/2019,Somalia
163,EMSR405_AOI01_DEL_PRODUCT,11/10/2019,11/8/2019,14/11/2019,Viet Nam
164,EMSR405_AOI01_FEP_PRODUCT,11/10/2019,11/8/2019,10/11/2019,Viet Nam
165,EMSR405_AOI02_DEL_MONIT01,11/10/2019,11/8/2019,13/11/2019,Viet Nam
166,EMSR405_AOI02_DEL_PRODUCT,11/10/2019,11/8/2019,12/11/2019,Viet Nam
167,EMSR405_AOI02_FEP_PRODUCT,11/10/2019,11/8/2019,10/11/2019,Viet Nam
168,EMSR405_AOI03_DEL_PRODUCT,11/10/2019,11/8/2019,11/11/2019,Viet Nam
169,EMSR405_AOI03_FEP_PRODUCT,11/10/2019,11/8/2019,10/11/2019,Viet Nam
170,EMSR410_AOI01_DEL_MONIT01,11/20/2019,11/22/2019,25/11/2019,Djibouti
171,EMSR410_AOI01_DEL_PRODUCT,11/20/2019,11/22/2019,22/11/2019,Djibouti
172,EMSR410_AOI01_GRA_MONIT01,11/20/2019,11/22/2019,27/11/2019,Djibouti
173,EMSR410_AOI01_GRA_PRODUCT,11/20/2019,11/22/2019,26/11/2019,Djibouti
174,EMSR410_AOI02_GRA_PRODUCT,11/20/2019,11/22/2019,26/11/2019,Djibouti
175,EMSR424_AOI01_DEL_MONIT01,1/28/2020,1/30/2020,3/2/2020,Madagascar
176,EMSR424_AOI01_DEL_PRODUCT,1/28/2020,1/30/2020,31/01/2020,Madagascar
177,EMSR424_AOI01_FEP_PRODUCT,1/28/2020,1/30/2020,27/01/2020,Madagascar
178,EMSR424_AOI02_DEL_MONIT01,1/28/2020,1/30/2020,5/2/2020,Madagascar
179,EMSR424_AOI02_DEL_MONIT02,1/28/2020,1/30/2020,7/2/2020,Madagascar
180,EMSR424_AOI02_DEL_PRODUCT,1/28/2020,1/30/2020,31/01/2020,Madagascar
181,EMSR424_AOI02_FEP_PRODUCT,1/28/2020,1/30/2020,29/01/2020,Madagascar
182,EMSR424_AOI03_DEL_PRODUCT,1/28/2020,1/30/2020,8/2/2020,Madagascar
183,EMSR424_AOI04_DEL_PRODUCT,1/28/2020,1/30/2020,8/2/2020,Madagascar
184,EMSR424_AOI05_DEL_PRODUCT,1/28/2020,1/30/2020,8/2/2020,Madagascar
185,EMSR434_AOI05_GRA_PRODUCT,4/6/2020,4/6/2020,10/4/2020,Vanuatu
186,EMSR438_AOI01_DEL_MONIT01,5/9/2020,5/15/2020,20/05/2020,Uganda
187,EMSR438_AOI01_DEL_MONIT02,5/9/2020,5/15/2020,29/04/2020,Uganda
188,EMSR438_AOI01_DEL_MONIT03,5/9/2020,5/15/2020,3/5/2020,Uganda
189,EMSR438_AOI01_DEL_PRODUCT,5/9/2020,5/15/2020,15/05/2020,Uganda
190,EMSR438_AOI02_DEL_MONIT01,5/9/2020,5/15/2020,20/05/2020,Uganda
191,EMSR438_AOI02_DEL_MONIT02,5/9/2020,5/15/2020,29/04/2020,Uganda
192,EMSR438_AOI02_DEL_MONIT03,5/9/2020,5/15/2020,8/5/2020,Uganda
193,EMSR438_AOI02_DEL_PRODUCT,5/9/2020,5/15/2020,14/05/2020,Uganda
194,EMSR438_AOI03_DEL_MONIT01,5/9/2020,5/15/2020,8/5/2020,Uganda
195,EMSR438_AOI03_DEL_PRODUCT,5/9/2020,5/15/2020,29/04/2020,Uganda
196,EMSR438_AOI04_DEL_PRODUCT,5/9/2020,5/15/2020,11/5/2020,Uganda
197,EMSR438_AOI05_DEL_PRODUCT,5/9/2020,5/15/2020,11/5/2020,Uganda
198,EMSR438_AOI06_DEL_PRODUCT,5/9/2020,5/15/2020,6/5/2020,Uganda
199,EMSR438_AOI07_DEL_PRODUCT,5/9/2020,5/15/2020,19/05/2020,Uganda
200,EMSR439_AOI01_GRA_PRODUCT,5/20/2020,5/20/2020,25/05/2020,Bangladesh
201,EMSR446_AOI01_DEL_MONIT01,7/21/2020,7/21/2020,27/07/2020,Uganda
202,EMSR446_AOI01_DEL_MONIT02,7/21/2020,7/21/2020,7/8/2020,Uganda
203,EMSR446_AOI01_DEL_MONIT03,7/21/2020,7/21/2020,12/8/2020,Uganda
204,EMSR446_AOI01_DEL_MONIT04,7/21/2020,7/21/2020,17/08/2020,Uganda
205,EMSR446_AOI01_DEL_MONIT05,7/21/2020,7/21/2020,22/08/2020,Uganda
206,EMSR446_AOI01_DEL_MONIT06,7/21/2020,7/21/2020,27/08/2020,Uganda
207,EMSR446_AOI01_DEL_MONIT07,7/21/2020,7/21/2020,1/9/2020,Uganda
208,EMSR446_AOI01_DEL_PRODUCT,7/21/2020,7/21/2020,13/07/2020,Uganda
209,EMSR446_AOI02_DEL_MONIT01,7/21/2020,7/21/2020,27/07/2020,Uganda
210,EMSR446_AOI02_DEL_PRODUCT,7/21/2020,7/21/2020,3/7/2020,Uganda
211,EMSR446_AOI03_DEL_MONIT01,7/21/2020,7/21/2020,30/08/2020,Uganda
212,EMSR446_AOI03_DEL_PRODUCT,7/21/2020,7/21/2020,1/6/2020,Uganda
213,EMSR450_AOI04_DEL_PRODUCT,8/2/2020,8/3/2020,4/8/2020,Viet Nam
214,EMSR456_AOI01_DEL_PRODUCT,8/10/2020,8/24/2020,13/08/2020,Nicaragua
215,EMSR456_AOI02_DEL_PRODUCT,8/10/2020,8/24/2020,16/08/2020,Nicaragua
216,EMSR456_AOI03_DEL_PRODUCT,8/10/2020,8/24/2020,11/8/2020,Nicaragua
217,EMSR456_AOI05_DEL_PRODUCT,8/10/2020,8/24/2020,16/08/2020,Nicaragua
218,EMSR456_AOI08_DEL_PRODUCT,8/10/2020,8/24/2020,11/8/2020,Nicaragua
219,EMSR456_AOI09_DEL_PRODUCT,8/10/2020,8/24/2020,13/08/2020,Nicaragua
220,EMSR464_AOI01_DEL_PRODUCT,9/18/2020,9/16/2020,18/09/2020,Viet Nam
221,EMSR464_AOI04_DEL_PRODUCT,9/18/2020,9/16/2020,18/09/2020,Viet Nam
222,EMSR464_AOI05_DEL_PRODUCT,9/18/2020,9/16/2020,18/09/2020,Viet Nam
223,EMSR466_AOI01_DEL_PRODUCT,9/15/2020,10/3/2020,27/09/2020,Niger
224,EMSR466_AOI02_DEL_PRODUCT,9/15/2020,10/3/2020,27/09/2020,Niger
225,EMSR466_AOI03_DEL_PRODUCT,9/15/2020,10/3/2020,12/9/2020,Niger
226,EMSR469_AOI01_DEL_PRODUCT,10/7/2020,10/7/2020,8/10/2020,Viet Nam
227,EMSR469_AOI04_DEL_PRODUCT,10/7/2020,10/7/2020,8/10/2020,Viet Nam
228,EMSR469_AOI05_DEL_PRODUCT,10/7/2020,10/7/2020,7/10/2020,Viet Nam
229,EMSR469_AOI06_DEL_PRODUCT,10/7/2020,10/7/2020,7/10/2020,Viet Nam
230,EMSR469_AOI07_DEL_PRODUCT,10/7/2020,10/7/2020,8/10/2020,Viet Nam
231,EMSR469_AOI08_DEL_PRODUCT,10/7/2020,10/7/2020,8/10/2020,Viet Nam
232,EMSR469_AOI09_DEL_PRODUCT,10/7/2020,10/7/2020,8/10/2020,Viet Nam
233,EMSR469_AOI10_DEL_PRODUCT,10/7/2020,10/7/2020,8/10/2020,Viet Nam
234,EMSR469_AOI11_DEL_PRODUCT,10/7/2020,10/7/2020,8/10/2020,Viet Nam
235,EMSR470_AOI01_DEL_MONIT01,10/5/2020,10/13/2020,20/10/2020,Togo
236,EMSR470_AOI01_DEL_PRODUCT,10/5/2020,10/13/2020,14/10/2020,Togo
237,EMSR470_AOI02_GRA_PRODUCT,10/5/2020,10/13/2020,17/10/2020,Togo
238,EMSR470_AOI03_GRA_PRODUCT,10/5/2020,10/13/2020,17/10/2020,Togo
239,EMSR470_AOI04_GRA_PRODUCT,10/5/2020,10/13/2020,17/10/2020,Togo
240,EMSR472_AOI01_DEL_MONIT01,10/12/2020,10/15/2020,18/10/2020,Viet Nam
241,EMSR472_AOI01_DEL_PRODUCT,10/12/2020,10/15/2020,10/10/2020,Viet Nam
242,EMSR472_AOI02_DEL_MONIT01,10/12/2020,10/15/2020,16/10/2020,Viet Nam
243,EMSR472_AOI02_DEL_PRODUCT,10/12/2020,10/15/2020,13/10/2020,Viet Nam
244,EMSR472_AOI03_DEL_MONIT01,10/12/2020,10/15/2020,18/10/2020,Viet Nam
245,EMSR472_AOI03_DEL_MONIT02,10/12/2020,10/15/2020,22/10/2020,Viet Nam
246,EMSR472_AOI03_DEL_PRODUCT,10/12/2020,10/15/2020,13/10/2020,Viet Nam
247,EMSR472_AOI04_DEL_MONIT01,10/12/2020,10/15/2020,17/10/2020,Viet Nam
248,EMSR472_AOI04_DEL_PRODUCT,10/12/2020,10/15/2020,13/10/2020,Viet Nam
249,EMSR472_AOI05_DEL_MONIT01,10/12/2020,10/15/2020,17/10/2020,Viet Nam
250,EMSR472_AOI05_DEL_PRODUCT,10/12/2020,10/15/2020,13/10/2020,Viet Nam
251,EMSR475_AOI01_DEL_PRODUCT,10/28/2020,10/27/2020,30/10/2020,Viet Nam
252,EMSR475_AOI02_DEL_PRODUCT,10/28/2020,10/27/2020,30/10/2020,Viet Nam
253,EMSR475_AOI03_DEL_MONIT01,10/28/2020,10/27/2020,30/10/2020,Viet Nam
254,EMSR475_AOI03_DEL_PRODUCT,10/28/2020,10/27/2020,28/10/2020,Viet Nam
255,EMSR475_AOI04_DEL_PRODUCT,10/28/2020,10/27/2020,30/10/2020,Viet Nam
